incident_id,study_issuer,second_coder_issuer,adjudication,changed,reason
102,Microsoft Corporation,Apple Inc.,study stands,FALSE,"comparative five-vendor study; any single issuer is arbitrary. Already coded mentioned-only"
168,"Meta Platforms, Inc.","Netflix, Inc.",study stands,FALSE,"five-platform collaborative-filtering study; arbitrary either way"
268,"Meta Platforms, Inc.",Alphabet Inc.,study stands,FALSE,"youtube, twitter and facebook named equally; arbitrary"
475,McDonald's Corporation,International Business Machines,study stands,FALSE,"McDonald's made the deployment decision at its own drive-thrus; IBM developed the system. The attribution rule prefers the party that deployed"
587,Alphabet Inc.,Apple Inc.,study stands,FALSE,"the account foregrounds Google Photos; Google is the primary actor"
718,"Meta Platforms, Inc.",NONE-not-listed,study stands,FALSE,"second coder recorded NONE on the ground that OpenAI is unlisted, but Meta and Google are both named and both listed"
731,"Meta Platforms, Inc.",Alphabet Inc.,study stands,FALSE,"eight named LLM vendors; arbitrary"
750,"Meta Platforms, Inc.",Alphabet Inc.,study stands,FALSE,"four vendors, arbitrary; coder note is a placeholder and confidence is low"
846,"Meta Platforms, Inc.","Twitter, Inc.",study stands with qualification,FALSE,"the incident centres on fake Twitter accounts and Twitter was a listed filer on 2021-10-06, so the second coder's answer is better on the facts; Twitter is excluded by the blanket delisted-issuer rule and meta and facebook are also named, so the mapping is defensible"
881,Serve Robotics Inc.,Alphabet Inc.,second coder,TRUE,"the Waymo vehicle operated by Alphabet struck the Serve Robotics delivery robot; Serve is the harmed party, not the operator of the harm-producing system"
967,Alphabet Inc.,"Amazon.com, Inc.",study stands with qualification,FALSE,"Amazon's review summary originated the text and Google's snippet amplified it; Amazon is arguably the better primary, both are listed, and the tier is unchanged"
1436,Integra LifeSciences Holdings,Johnson & Johnson,second coder,TRUE,"Integra acquired Acclarent from Johnson & Johnson's Ethicon unit on 1 April 2024; the incident is 23 June 2022, so Acclarent was a Johnson & Johnson subsidiary at the incident date"
1528,Integra LifeSciences Holdings,Johnson & Johnson,second coder,TRUE,"same acquisition; the incident is 19 May 2023, also before the 1 April 2024 closing"
1575,"PayPal Holdings, Inc.",NONE-not-listed,second coder on basis,TRUE,"Eightfold AI built and operated the scoring platform and is not listed; PayPal was a customer of an unrelated vendor, which the attribution rules exclude from developer or deployer. Recoded mentioned-only"
