incident_id,incident_date,entity_slug,listed_parent,parent_control_from,basis,date_status,asof_verdict,disclosure_code,title
89,2019-03-15,youtube,Alphabet Inc.,2006-11-13,Google completed the YouTube acquisition,asserted,ok,T3,The Christchurch shooter and YouTube’s radicalization trap
144,2020-06-28,youtube,Alphabet Inc.,2006-11-13,Google completed the YouTube acquisition,asserted,ok,T3,YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation
141,2021-02-05,instagram,"Meta Platforms, Inc.",2012-04-09,Facebook announced/completed the Instagram acquisition (closed Sep 2012),asserted,ok,T3,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed
124,2019-10-24,optum,UnitedHealth Group Inc.,2011-01-01,UnitedHealth Group in-house brand consolidation,asserted,ok,T4,Optum Algorithmic Health Risk Scores Reportedly Underestimated Black Patients' Needs
175,2022-04-01,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco
181,2022-02-11,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle"
240,2021-06-29,github,Microsoft Corporation,2018-10-26,Microsoft completed the GitHub acquisition,asserted,ok,T4,"GitHub Copilot, Copyright Infringement and Open Source Licensing"
253,2022-05-18,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,"Cruise's Self-Driving Cars Allegedly Lost Connection to Their Server, Causing Traffic Blockages in San Francis"
265,2021-04-01,uber-eats,"Uber Technologies, Inc.",internal,"Uber in-house service, launched 2014",asserted,ok-internal,T3,Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results
293,2022-06-03,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,Cruise’s Self-Driving Car Involved in a Multiple-Injury Collision at an San Francisco Intersection
347,2021-05-06,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,"Waymo Self-Driving Taxi Reportedly Behaved Unexpectedly, Driving away from Support Crew"
305,2019-02-01,youtube,Alphabet Inc.,2006-11-13,Google completed the YouTube acquisition,asserted,ok,T3,YouTube’s Recommendation Algorithm Allegedly Promoted Climate Misinformation Content
331,2020-08-05,instagram,"Meta Platforms, Inc.",2012-04-09,Facebook announced/completed the Instagram acquisition (closed Sep 2012),asserted,ok,T3,Bug in Instagram’s “Related Hashtags” Algorithm Allegedly Caused Disproportionate Treatment of Political Hasht
348,2020-11-01,youtube,Alphabet Inc.,2006-11-13,Google completed the YouTube acquisition,asserted,ok,T3,YouTube Recommendation Reportedly Pushed Election Fraud Content to Skeptics Disproportionately
311,2020-05-02,youtube,Alphabet Inc.,2006-11-13,Google completed the YouTube acquisition,asserted,ok,T3,YouTube Auto-Moderation Mistakenly Banned Women of Sex Tech Conference
281,2019-02-04,youtube,Alphabet Inc.,2006-11-13,Google completed the YouTube acquisition,asserted,ok,T3,YouTube's Algorithms Failed to Remove Violating Content Related to Suicide and Self-Harm
389,2022-04-05,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,Cruise Autonomous Car Blocked Fire Truck Responding to Emergency
427,2022-03-15,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,Cruise Taxis' Sudden Braking Allegedly Put People at Risk
447,2022-12-19,instagram,"Meta Platforms, Inc.",2012-04-09,Facebook announced/completed the Instagram acquisition (closed Sep 2012),asserted,ok,T3,"Footballer's ""X-Rated"" Comment Created by Instagram's Mistranslation"
459,2023-01-21,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,Firefighters Smashed Cruise AV's Front Window to Stop It from Running over Fire Hoses
460,2022-06-12,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,Cruise AV Ran Over Fire Hose in Active Fire Scene
501,2019-06-03,navihealth,UnitedHealth Group Inc.,2020-05-01,"Optum/UnitedHealth acquisition of naviHealth announced May 2020. naviHealth was majority-owned by Clayton, Dubilier & Rice from 1 August 2018 (CD&R ~55%, Cardinal Health ~45%), having been Cardinal Health-controlled from August 2015. This is the only parent relationship in the crosswalk established after the 2019 start of the study window, and therefore the only one on which the check can bind",verified,FLAG-parent-did-not-own,T4,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman
563,2023-08-14,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,Cruise Robotaxi Initially Blamed for Ambulance Delay in Case Where Patient Later Died; Subsequent Reports Clea
595,2023-08-11,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T3,Driverless Cruise Cars Immobilized in San Francisco Traffic Jam
596,2023-10-17,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T1,Cruise's Autonomous Vehicles Allegedly Engaging in Risky Behavior Near Pedestrians
608,2023-02-28,navihealth,UnitedHealth Group Inc.,2020-05-01,"Optum/UnitedHealth acquisition of naviHealth announced May 2020. naviHealth was majority-owned by Clayton, Dubilier & Rice from 1 August 2018 (CD&R ~55%, Cardinal Health ~45%), having been Cardinal Health-controlled from August 2015. This is the only parent relationship in the crosswalk established after the 2019 start of the study window, and therefore the only one on which the check can bind",verified,ok,T3,UnitedHealth Accused of Deploying  Allegedly Flawed AI to Deny Medical Coverage
614,2023-11-02,google-bard,Alphabet Inc.,internal,"Google in-house product, launched Mar 2023",asserted,ok-internal,T3,Google Bard Allegedly Generates False Allegations Against Consulting Firms Used in Research Presented in Austr
647,2024-02-06,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,A Self-Driving Waymo Robotaxi Reportedly Collided with a Bicyclist
726,2023-10-02,cruise,General Motors Company,2016-05-12,GM completed the Cruise Automation acquisition,asserted,ok,T1,A Self-Driving Cruise Robot Taxi Reportedly Struck and Dragged a Pedestrian 20 Feet
794,2024-08-13,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Reported Glitch in Waymo Self-Driving Cars Purportedly Triggers Regular All-Night Honking in San Francisco
853,2024-02-03,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Two Passengers Report Feeling Trapped in Waymo Car During Sensor Obstruction
854,2024-09-30,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Driverless Taxi Allegedly Stalled During Pedestrian Harassment Incident in San Francisco
1269,2025-10-27,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Autonomous Vehicle Reportedly Ran Over and Killed a Cat in San Francisco
1300,2025-12-04,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,"Waymo Self-Driving Vehicles Reportedly Passed Stopped School Buses at Least 19 Times, Prompting NHTSA Probe"
1326,2025-12-20,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Robotaxis Allegedly Contributed to Traffic Gridlock During San Francisco PG&E Power Outage
1337,2025-12-08,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Robotaxi Reportedly Transported Undetected Person Trapped in Trunk in Los Angeles
1361,2026-01-23,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,"Waymo Autonomous Vehicle Reportedly Struck Child Near Elementary School in Santa Monica, California"
1537,2025-02-16,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Two Waymo Robotaxis Allegedly Contributed to Bike-Lane Collision That Injured San Francisco Cyclist
1539,2025-08-26,zoox,"Amazon.com, Inc.",2020-06-26,Amazon completed the Zoox acquisition,asserted,ok,T3,Zoox Robotaxi Crossed Into Opposing Lane and Stopped Near Oncoming Traffic
1540,2026-01-17,zoox,"Amazon.com, Inc.",2020-06-26,Amazon completed the Zoox acquisition,asserted,ok,T3,"Zoox Robotaxi Reportedly Collided with Open Car Door, Allegedly Injuring San Francisco Street Ambassador"
1541,2026-01-07,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,"Waymo Robotaxi Reportedly Entered Phoenix Light-Rail Tracks, Prompting Passenger to Exit"
1543,2026-03-01,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Robotaxi Reportedly Obstructed Ambulance Responding to Austin Mass Shooting
1544,2026-04-20,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Robotaxi Reportedly Entered Flooded San Antonio Roadway and Was Swept Into Waterway
1547,2026-04-11,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Robotaxis Reportedly Entered Closed Freeway Construction Zones in Arizona and California
1583,2026-07-04,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Robotaxi Reportedly Caught Fire After Driving Over Firework in San Francisco
1599,2026-05-09,waymo,Alphabet Inc.,2009-01-01,Google self-driving project; Waymo formed as an Alphabet subsidiary Dec 2016 and Alphabet controlled the programme throughout,asserted,ok,T3,Waymo Robotaxi Reportedly Remained Immobilized While Vandals Smashed Vehicle with Passenger Inside
1602,2026-06-20,zoox,"Amazon.com, Inc.",2020-06-26,Amazon completed the Zoox acquisition,asserted,ok,T3,"Zoox Autonomous Vehicle Reportedly Entered Smoke-Obscured Fire Scene, Prompting Heavy-Smoke Detection Recall"
