source_file,incident_id,field,proposed_value,confidence,rationale
data/t3_split.csv,82,t3_split,T3a,high,incident families app=[content-moderation] harm=[misinformation-content|service-quality]; filing matched app=[content-moderation] harm=[misinformation-content]
data/t3_split.csv,84,t3_split,T3b,medium,incident families app=[content-moderation|predictive-scoring] harm=[misinformation-content|service-quality]; filing matched app=[] harm=[misinformation-content]
data/t3_split.csv,81,t3_split,T3a,high,incident families app=[vision-biometric] harm=[discrimination-bias]; filing matched app=[vision-biometric] harm=[discrimination-bias]
data/t3_split.csv,97,t3_split,T3b,medium,incident families app=[autonomous-vehicle] harm=[service-quality]; filing matched app=[autonomous-vehicle] harm=[]
data/t3_split.csv,92,t3_split,T3a,high,incident families app=[predictive-scoring] harm=[discrimination-bias]; filing matched app=[predictive-scoring] harm=[discrimination-bias]
data/t3_split.csv,89,t3_split,T3b,medium,incident families app=[recommender-ranking] harm=[]; filing matched app=[recommender-ranking] harm=[]
data/t3_split.csv,105,t3_split,T3a,high,incident families app=[autonomous-vehicle] harm=[harmful-content-minors|physical-safety]; filing matched app=[autonomous-vehicle] harm=[physical-safety]
data/t3_split.csv,113,t3_split,T3b,low,incident families app=[content-moderation] harm=[misinformation-content]; filing matched app=[] harm=[]
data/t3_split.csv,116,t3_split,T3b,low,incident families app=[predictive-scoring] harm=[service-quality]; filing matched app=[] harm=[]
data/t3_split.csv,129,t3_split,T3b,medium,incident families app=[content-moderation] harm=[service-quality]; filing matched app=[content-moderation] harm=[]
data/t3_split.csv,144,t3_split,T3a,high,incident families app=[content-moderation] harm=[misinformation-content]; filing matched app=[content-moderation] harm=[misinformation-content]
data/t3_split.csv,160,t3_split,T3b,low,incident families app=[recommender-ranking|speech-nlp] harm=[]; filing matched app=[] harm=[]
data/t3_split.csv,161,t3_split,T3a,high,incident families app=[ads-targeting] harm=[discrimination-bias]; filing matched app=[ads-targeting] harm=[discrimination-bias]
data/t3_split.csv,168,t3_split,T3a,high,incident families app=[recommender-ranking] harm=[discrimination-bias]; filing matched app=[recommender-ranking] harm=[discrimination-bias]
