incident_id,matched_company,ticker,CIK,incident_date,severity_tier,event_short,edgar_evidence,pass1_code,pass1_confidence,pass2_code,final_code
TBD-01,General Motors Company,GM,1467858,2023-10-02,T3-severe,GM Cruise robotaxi dragged pedestrian; permit suspended,"'Cruise'=15 hits; 2023 10-K (gm-20231231.htm) explicitly discloses Oct-2023 pedestrian incident, CA DMV permit suspension, voluntary pause, and NHTSA/DOJ/SEC investigations.",DISCLOSED-SPECIFIC,high,DISCLOSED-SPECIFIC,DISCLOSED-SPECIFIC
TBD-02,"Tesla, Inc.",TSLA,1318605,2021-08-13,T3-severe,NHTSA opens Autopilot defect probe (PE21-020),'NHTSA'=2; 2021 10-K (tsla-20211231.htm) read: only general NHTSA regulatory + Autopilot safety risk language; specific PE21-020 probe not named.,DISCLOSED-GENERIC,medium,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-03,"Tesla, Inc.",TSLA,1318605,2023-12-13,T3-severe,Recall of ~2M vehicles over Autopilot safeguards,"'full self-driving'=4,'recall'=2; 2023 10-K read: generic recall + Autopilot risk language; the Dec-2023 2M-vehicle recall not specifically referenced.",DISCLOSED-GENERIC,medium,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-04,UnitedHealth Group Inc.,UNH,731766,2023-11-14,T3-severe,nH Predict/naviHealth algorithm care-denial lawsuit,'nH Predict'=0; 'naviHealth'=1 (Exhibit-21 subsidiary list only); generic AI=1 (2023 10-K). No care-algorithm/litigation disclosure of the incident located.,NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-05,The Cigna Group,CI,1739940,2023-03-25,T3-severe,PxDx algorithm mass claim denials (ProPublica),'PxDx'=0; generic AI/algorithm=5 but all in 8-K compensation/press exhibits (not risk disclosure of the incident).,NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-06,UnitedHealth Group Inc.,UNH,731766,2019-10-24,T3-severe,Optum care-management algorithm racial bias (Science),'algorithm'=0 in 2019-2020 window; incident not disclosed.,NO-DISCLOSURE-LOCATED,high,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-07,"Zillow Group, Inc.",ZG,1617640,2021-11-02,T3-severe,Zillow Offers algorithmic iBuying wind-down; writedown,"'Zillow Offers'=19; Nov-2-2021 8-K (Items 2.02/2.05/9.01) announces winding down Zillow Offers, citing home-pricing unpredictability and buying above current price estimates (the pricing-model failure).",DISCLOSED-SPECIFIC,high,DISCLOSED-SPECIFIC,DISCLOSED-SPECIFIC
TBD-08,"Tesla, Inc.",TSLA,1318605,2022-02-16,T2-moderate,NHTSA phantom-braking investigation,"'phantom braking'=0; Tesla in-window filings carry Autopilot safety risk-factor language (same tech family), but the phantom-braking probe is not referenced.",DISCLOSED-GENERIC,low,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-09,The Goldman Sachs Group Inc.,GS,886982,2019-11-08,T2-moderate,Apple Card credit-limit gender-bias allegation,"'Apple Card'=4 (business/earnings mentions); Q1-2020 10-Q read: no reference to Apple Card or the NYDFS/gender-bias inquiry. Product mentioned, incident not.",NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-10,"Meta Platforms, Inc.",META,1326801,2022-06-21,T2-moderate,DOJ/HUD ad-delivery discrimination settlement,'housing'=0; 'discrimination'=6 (risk-factor/legal language). Specific DOJ/HUD housing-ad settlement not findable via 'housing'; ad-discrimination risk language present.,DISCLOSED-GENERIC,medium,DISCLOSED-GENERIC,DISCLOSED-GENERIC
