incident_id,incident_date,stratum,aiid_title,aiid_summary,organizations_named_in_aiid,second_coder_issuer,second_coder_role,second_coder_attribution_basis,second_coder_confidence,second_coder_notes
81,2020-10-21,single-candidate-large-issuer,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers","A study by the University of Toronto, the Vector Institute, and MIT showed the input databases that trained AI systems used to classify chest X-rays led the systems to show gender, socioeconomic, and racial biases.",mount-sinai-hospitals; google; qure.ai; aidoc; darwinai,,,,,
83,2020-10-22,multi-candidate,AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection,"AlgorithmWatch tested spam filtering algorithms across Gmail, Yahoo, Outlook, GMX, and LaPoste. Their findings reportedly showed that Microsoft Outlook’s spam filter flagged emails based on specific keywords that led to racial and content-based biases blocking legitimate communic",yahoo; outlook; laposte; gmx; gmail; microsoft; google,,,,,
89,2019-03-15,parent-linked,The Christchurch shooter and YouTube’s radicalization trap,A New Zealand government report released following a right-wing terrorist killing 51 worshippers at two New Zealand mosques which indicated that Youtube's recommendation algorithm played an important role in the terrorist's radicalization.,youtube,,,,,
92,2019-11-11,multi-candidate,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women,"Apple Card's credit assessment algorithm was reported by Goldman-Sachs customers to have shown gender bias, in which men received significantly higher credit limits than women with equal credit qualifications.",goldman-sachs; apple,,,,,
102,2020-03-23,multi-candidate,"Personal voice assistants struggle with black voices, new study shows","A study found that voice recognition tools from Apple, Amazon, Google, IBM, and Microsoft disproportionately made errors when transcribing black speakers.",microsoft; ibm; google; apple; amazon,,,,,
129,2021-03-01,single-candidate-large-issuer,"Facebook's Automated Tools Failed to Adequately Remove Hate Speech, Violence, and Incitement","Facebook's automated moderation tools were shown by internal documents performing incomparably to human moderators, and accounting for only a small fraction of hate speech, violence, and incitement content removal.",facebook,,,,,
143,2021-02-16,multi-candidate,Facebook’s and Twitter's Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules for Small Language Groups,"Facebook's and Twitter were not able to sufficiently moderate content of small language groups such as the Balkan languages using AI, allegedly due to the lack of investment in human moderation and difficulty in AI-solution design for the languages.",facebook; twitter,,,,,
144,2020-06-28,parent-linked,YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation,"YouTube's AI-powered hate speech detection system falsely flagged chess content and banned chess creators allegedly due to its misinterpretation of strategy language such as ""black,"" ""white,"" and ""attack"" as harmful and dangerous.",youtube,,,,,
149,2021-11-02,small-issuer,Zillow Shut Down Zillow Offers Division Allegedly Due to Predictive Pricing Tool's Insufficient Accuracy,"Zillow's AI-powered predictive pricing tool Zestimate was allegedly not able to accurately forecast housing prices three to six months in advance due to rapid market changes, prompting division shutdown and layoff of a few thousand employees.",zillow; zillow-offers,,,,,
159,2019-03-29,single-candidate-large-issuer,Tesla Autopilot’s Lane Recognition Allegedly Vulnerable to Adversarial Attacks,"Tencent Keen Security Lab conducted security research into Tesla’s Autopilot system and identified crafted adversarial samples and remote controlling via wireless gamepad as vulnerabilities to its system, although the company called into question their real-world practicality. Th",tesla,,,,,
