incident_id,issuer,incident_date,severity,role,incident_app_families,incident_harm_families,filing_app_families,filing_harm_families,app_family_matched,harm_family_matched,t3_split,confidence,evidence_chars,supporting_fragment,title
82,"Meta Platforms, Inc.",2020-10-21,sev_moderate,both,content-moderation,misinformation-content|service-quality,content-moderation,misinformation-content,content-moderation,misinformation-content,T3a,high,164,FY2020 10-K carries misinformation-handling and objectionable-content risk language. Fact-check mislabeling captured only by family-level misinformation-handling risk language; T3.,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’
84,"Meta Platforms, Inc.",2020-10-09,sev_moderate,both,content-moderation|predictive-scoring,misinformation-content|service-quality,,misinformation-content,,misinformation-content,T3b,medium,303,FY2020 10-K explicitly addresses misinformation handling around COVID-19 and elections ('negative publicity in connection with our handling of misinformation... including in connec,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks"
81,Alphabet Inc.,2020-10-21,sev_moderate,developer,vision-biometric,discrimination-bias,vision-biometric,discrimination-bias,vision-biometric,discrimination-bias,T3a,high,339,Window 2020-10-21 to 2021-10-21. In-window FY2020 10-K (filed 2021-02-03) carries the AI/ML ethical-challenges risk factor covering algorithmic bias. Chest X-ray classifier bias is,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers"
97,"Tesla, Inc.",2020-10-22,sev_moderate,both,autonomous-vehicle,service-quality,autonomous-vehicle,,autonomous-vehicle,,T3b,medium,224,Window (2020-10 to 2021-10) includes FY2020 10-K (2021-02) and FY2021 10-K (2022-02) with Autopilot vision/perception reliability risk language. Tesla's vision-based self-driving r,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights
92,The Goldman Sachs Group Inc.,2019-11-11,sev_severe,deployer,predictive-scoring,discrimination-bias,predictive-scoring,discrimination-bias,predictive-scoring,discrimination-bias,T3a,high,575,"Goldman Sachs (CIK 0000886982). The FY2019 10-K (0001193125-20-043853, 2020-02-21) carries 'fair lending' risk language (efts: 1 hit) -- the same-family consumer-credit/algorithmic",Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women
89,Alphabet Inc.,2019-03-15,sev_severe,both,recommender-ranking,,recommender-ranking,,recommender-ranking,,T3b,medium,510,"Window 2019-03-15 to 2020-03-15. FY2018 10-K (2019-02-05) predates window; in-window FY2019 10-K (0001652044-20-000008, filed 2020-02-04) carries the AI/ML 'ethical, technological,",The Christchurch shooter and YouTube’s radicalization trap
105,"Tesla, Inc.",2019-08-24,sev_severe,both,autonomous-vehicle,harmful-content-minors|physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,194,Window (2019-08 to 2020-08) includes FY2019 10-K (0001564590-20-004475) Autopilot death/injury risk language. generic Autopilot risk-factor language only = T3.,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California"
113,"Meta Platforms, Inc.",2020-06-27,sev_moderate,both,content-moderation,misinformation-content,,,,,T3b,low,204,FY2020 10-K (fb-20201231.htm) carries reliance-on-AI and objectionable/offensive-content risk language. T3.,"Facebook's AI Put ""Primates"" Label on Video Featuring Black Men"
116,"Amazon.com, Inc.",2021-09-20,sev_severe,deployer,predictive-scoring,service-quality,,,,,T3b,low,248,"Window 2021-09-20 to 2022-09-20. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) carries generic AI/ML risk language. Generic AI/algorithm risk language of same fami",Amazon's AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make
129,"Meta Platforms, Inc.",2021-03-01,sev_moderate,both,content-moderation,service-quality,content-moderation,,content-moderation,,T3b,medium,416,FY2020 10-K (in-window) carries reliance-on-AI content-review and hate-speech/objectionable-content risk language; Internal-document hate-speech-removal shortfall captured only by ,"Facebook's Automated Tools Failed to Adequately Remove Hate Speech, Violence, and Incitement"
144,Alphabet Inc.,2020-06-28,sev_limited,both,content-moderation,misinformation-content,content-moderation,misinformation-content|service-quality,content-moderation,misinformation-content,T3a,high,382,"Window 2020-06-28 to 2021-06-28. In-window FY2020 10-K (goog-20201231.htm, filed 2021-02-03) carries the AI/ML ethical/brand risk factor. YouTube AI hate-speech detector falsely ba",YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation
160,"Amazon.com, Inc.",2021-12-26,sev_moderate,both,recommender-ranking|speech-nlp,,content-moderation,physical-safety,,,T3b,low,324,"Window 2021-12-26 to 2022-12-26. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) carries generic AI/ML risk language plus product-liability and objectionable-content",Alexa Recommended Dangerous TikTok Challenge to Ten-Year-Old Girl
161,"Meta Platforms, Inc.",2019-04-03,sev_moderate,both,ads-targeting,discrimination-bias,ads-targeting|content-moderation,discrimination-bias|misinformation-content|privacy-surveillance,ads-targeting,discrimination-bias,T3a,high,862,"In-window annuals are Facebook FY2018 10-K (0001326801-19-000009) and FY2019 10-K (0001326801-20-000013, fb-12312019x10k.htm, 2020-01-30), whose Item 1A carries family-level advert",Facebook's Ad Delivery Reportedly Excluded Audience along Racial and Gender Lines
168,"Meta Platforms, Inc.",2022-03-01,sev_moderate,both,recommender-ranking,discrimination-bias,recommender-ranking,discrimination-bias|service-quality,recommender-ranking,discrimination-bias,T3a,high,325,FY2022 10-K (0001326801-23-000013) recommendation/ranking-algorithm and metrics language ('algorithm or other technical errors'; 'statistical variances and uncertainties'); FY2023 ,"Collaborative Filtering Prone to Popularity Bias, Resulting in Overrepresentation of Popular Items in the Recommendation"
153,"Tesla, Inc.",2019-12-29,sev_severe,both,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,224,Window (2019-12 to 2020-12) includes FY2019 10-K (0001564590-20-004475) Autopilot death/injury risk language. The Gardena red-light Autopilot fatality (two killed; generic Autopilo,"Tesla Driver on Autopilot Ran a Red Light, Crashing into a Car and Killing Two People in Los Angeles"
145,"Tesla, Inc.",2021-07-23,sev_moderate,both,autonomous-vehicle,service-quality,autonomous-vehicle,,autonomous-vehicle,,T3b,medium,199,Window (2021-07 to 2022-07) includes FY2021 10-K (2022-02) with Autopilot vision-perception reliability risk language. same-family Autopilot reliability risk language = T3.,Tesla's Autopilot Misidentified the Moon as Yellow Stop Light
141,"Meta Platforms, Inc.",2021-02-05,sev_limited,both,,ip-copyright,,ip-copyright,,ip-copyright,T3b,medium,238,FY2020 10-K carries reliance-on-automated-systems and content-enforcement risk language (including IP/copyright-enforcement obligations). T3.,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed
125,"Amazon.com, Inc.",2020-09-29,sev_severe,both,,physical-safety,,physical-safety,,physical-safety,T3b,medium,336,"Window 2020-09-29 to 2021-09-29. In-window FY2020 10-K (0001018724-21-000004, filed 2021-02-03) carries generic AI/ML risk language and describes robotics/automation and safety inv",Amazon’s Robotic Fulfillment Centers Have Higher Serious Injury Rates
156,"Amazon.com, Inc.",2022-02-04,sev_severe,both,recommender-ranking,harmful-content-minors,content-moderation|recommender-ranking,,recommender-ranking,,T3b,medium,413,"Window 2022-02-04 to 2023-02-04. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) and 2022 10-Qs carry generic AI/ML risk language plus the product-liability and frau",Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts
143,"Meta Platforms, Inc.",2021-02-16,sev_moderate,both,content-moderation,service-quality,content-moderation,,content-moderation,,T3b,medium,176,FY2020 10-K carries reliance-on-AI content-review and harmful/objectionable-content risk language. Language-coverage moderation gap captured only by family-level content-moderation,Facebook’s and Twitter's Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules for Small
157,"Amazon.com, Inc.",2021-03-15,sev_severe,both,,physical-safety,,,,,T3b,low,295,"Window 2021-03-15 to 2022-03-15. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) carries generic AI/ML risk language. Generic AI/algorithm risk language of same fami","Amazon's Monitoring System Allegedly Pushed Delivery Drivers to Prioritize Speed over Safety, Leading to Crash"
139,"Amazon.com, Inc.",2021-01-21,sev_moderate,both,recommender-ranking,misinformation-content,content-moderation|recommender-ranking,,recommender-ranking,,T3b,medium,345,"Window 2021-01-21 to 2022-01-21. In-window FY2020 10-K (0001018724-21-000004, filed 2021-02-03) and 2021 10-Qs carry generic AI/ML risk language plus the fraudulent/unlawful/object",Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinfor
142,"Meta Platforms, Inc.",2021-02-11,sev_moderate,both,ads-targeting|content-moderation,misinformation-content|service-quality,ads-targeting|content-moderation,service-quality,ads-targeting|content-moderation,service-quality,T3a,high,209,FY2020 10-K (in-window; incident 2021-02-11) carries reliance-on-AI content/ad-review and objectionable-content risk language. Automated ad-classification error captured only by fa,Facebook's Advertisement Moderation System Allegedly Routinely Misidentified Adaptive Fashion Products as Medical Equipm
159,"Tesla, Inc.",2019-03-29,sev_limited,both,autonomous-vehicle,,autonomous-vehicle,,autonomous-vehicle,,T3b,medium,244,Window (2019-03 to 2020-03) includes FY2019 10-K (0001564590-20-004475) with Autopilot/self-driving technology and 'claimed failures of new technologies' risk language. Third-party,Tesla Autopilot’s Lane Recognition Allegedly Vulnerable to Adversarial Attacks
163,"Meta Platforms, Inc.",2021-11-21,sev_limited,both,,discrimination-bias|service-quality,content-moderation,discrimination-bias,,discrimination-bias,T3b,medium,306,"FY2021 10-K addresses 'hate speech, and other content' handling and content-moderation failure risk. Same-family harmful-content / moderation-failure and algorithmic-bias risk lang",Facebook’s Hate Speech Detection Algorithms Allegedly Disproportionately Failed to Remove Racist Content towards Minorit
203,"Uber Technologies, Inc.",2022-02-10,sev_limited,both,,,,,,,T3b,low,471,In-window annuals: FY2021 10-K filed 2022-02-24 (acc 0001543151-22-000008) and FY2022 10-K filed 2023-02-21. 'artificial intelligence' is present in these 10-Ks (efts FY2020+); the,Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US
213,"Meta Platforms, Inc.",2020-07-01,sev_limited,both,ads-targeting,service-quality,ads-targeting,misinformation-content,ads-targeting,,T3b,medium,243,FY2020 10-K carries advertising and automated-detection/misinformation risk language ('effectively target ads'; 'misinformation... including... elections'). Political-ad-detection ,Facebook’s Political Ad Detection Reportedly Showed High and Geographically Uneven Error Rates
175,General Motors Company,2022-04-01,sev_limited,both,,,,,,,T3b,low,217,"GM FY2022 10-K (0001467858-23-000029, 2023-01-31) carries AV risk-factor language re accidents/regulatory scrutiny. Widely-reported but immaterial operational episode;",Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco
178,"Tesla, Inc.",2022-04-21,sev_limited,both,autonomous-vehicle,physical-safety,autonomous-vehicle,,autonomous-vehicle,,T3b,medium,178,Window (2022-04 to 2023-04) includes FY2021 10-K (2022-02) and FY2022 10-K (2023-01). same-family automated-driving/driver-assist risk language present = T3.,"Tesla Owner Activated ""Smart Summon"" Feature, Causing a Collision with an Aircraft in a Washington Airport"
220,"Meta Platforms, Inc.",2020-11-11,sev_severe,both,ads-targeting|content-moderation,,ads-targeting,misinformation-content|service-quality,ads-targeting,,T3b,medium,321,FY2020 10-K (0001326801-21-000014) ties heavier reliance on AI (with less human review) to content/ad enforcement during the remote-work/COVID period ('rely more heavily on artific,Facebook Mistakenly Blocked Small Business Ads
221,"Tesla, Inc.",2022-03-07,sev_severe,both,autonomous-vehicle,physical-safety|service-quality,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,208,Window (2022-03 to 2023-03) includes FY2021 10-K (2022-02) and FY2022 10-K (2023-01) with Autopilot crash/death risk language. generic same-family Autopilot risk language only = T3,A Road Engineer Killed Following a Collision Involving a Tesla on Autopilot
181,General Motors Company,2022-02-11,sev_moderate,both,autonomous-vehicle,harmful-content-minors|physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,606,"GM FY2021 10-K (0001467858-22-000034, 2022-02-02) and FY2022 10-K (0001467858-23-000029, 2023-01-31) both carry autonomous-vehicle risk-factor language: 'Our AV strategy is depende","BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle"
209,"Tesla, Inc.",2020-10-20,sev_limited,both,autonomous-vehicle,physical-safety,autonomous-vehicle,,autonomous-vehicle,,T3b,medium,287,only generic FSD risk-factor language of the same family is present = T3.,Tesla Disabled “Rolling Stop” Functionality Associated with the “Aggressive” Driving Mode
215,"Meta Platforms, Inc.",2020-04-01,sev_limited,both,content-moderation,harmful-content-minors|service-quality,content-moderation,discrimination-bias|physical-safety,content-moderation,,T3b,medium,495,"FY2020 10-K (0001326801-21-000014) states adverse impacts from 'limitations on our safety, security, and content review efforts while our workforce is working remotely, such as the",Facebook Content Moderators Demand Better Working Conditions Due to Allegedly Inadequate AI Content Moderation
