incident_id,incident_date,matched_company,ticker,CIK,listing_status,role,severity_tier,severity_source,disclosure_code,code_confidence,accounting_filing_item,accounting_booked_impact,evidence,rationale,title
82,2020-10-21,"Meta Platforms, Inc.",META,1326801,LISTED,both,T2-moderate,CSET,T3,high,,,FY2020 10-K carries misinformation-handling and objectionable-content risk language. No filing references the #LekkiMassacre / #EndSARS content mislabeled as false.,Fact-check mislabeling captured only by family-level misinformation-handling risk language; event not named. T3.,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’
84,2020-10-09,"Meta Platforms, Inc.",META,1326801,LISTED,both,T2-moderate,CSET,T3,high,,,FY2020 10-K explicitly addresses misinformation handling around COVID-19 and elections ('negative publicity in connection with our handling of misinformation... including in connection with the COVID-19 pandemic and elections'). No filing references the Avaaz study finding 42% of false posts unlabel,Misinformation-labeling shortfall captured squarely by the family-level COVID/election misinformation risk language; study/event not named. T3.,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks"
81,2020-10-21,Alphabet Inc.,GOOGL,1652044,LISTED,developer,T2-moderate,CSET,T3,medium,,,Window 2020-10-21 to 2021-10-21. In-window FY2020 10-K (filed 2021-02-03) carries the AI/ML ethical-challenges risk factor covering algorithmic bias. Chest X-ray classifier bias is an academic study of Google-associated AI; fits the AI/ML 'ethical challenges' family but is tangential to Alphabet's c,Third-party research on AI bias covered by generic AI/ML ethical risk language; event not named; Alphabet role tangential.,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers"
83,2020-10-22,Microsoft Corporation,MSFT,789019,LISTED,developer,T2-moderate,CSET,T4,high,,,"Window 2020-10-22..2021-10-22. In-window annual report FY2021 10-K (0001564590-21-039151, 2021-07-29) treats AI only as a competitive line; no AI-harm/bias risk factor. Outlook spam-filter bias study (AlgorithmWatch) not named; no proceeding disclosed.",Pre-FY2023: no in-window AI-harm/bias risk-factor language; event unnamed. T4.,AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection
97,2020-10-22,"Tesla, Inc.",TSLA,1318605,LISTED,both,T2-moderate,CSET,T3,high,,,Window (2020-10 to 2021-10) includes FY2020 10-K (2021-02) and FY2021 10-K (2022-02) with Autopilot vision/perception reliability risk language. The flag-misread-as-traffic-light perception glitch is not named in any filing.,Perception-error demonstration not disclosed; Tesla's vision-based self-driving reliability risk language is same-family = T3.,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights
92,2019-11-11,The Goldman Sachs Group Inc.,GS,886982,LISTED,deployer,T3-severe,CSET,T3,medium,,,"Goldman Sachs (CIK 0000886982). The FY2019 10-K (0001193125-20-043853, 2020-02-21) carries 'fair lending' risk language (efts: 1 hit) -- the same-family consumer-credit/algorithmic-underwriting fair-lending regulatory-risk channel. 'Apple Card' appears in in-window quarterly-earnings 8-Ks (e.g., 201",The specific Apple Card gender-bias episode/DFS inquiry is not named in Goldman's filings; only same-family fair-lending/consumer-credit underwriting risk language is present in the in-window 10-K. T3.,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women
89,2019-03-15,Alphabet Inc.,GOOGL,1652044,PARENT,both,T3-severe,CSET,T3,high,,,"Window 2019-03-15 to 2020-03-15. FY2018 10-K (2019-02-05) predates window; in-window FY2019 10-K (0001652044-20-000008, filed 2020-02-04) carries the AI/ML 'ethical, technological, legal, regulatory... challenges... negatively affect our brands' risk factor. Christchurch/radicalization allegation ab",Recommendation-algorithm radicalization harm covered by generic AI/ML risk factor via in-window FY2019 10-K; event not named.,The Christchurch shooter and YouTube’s radicalization trap
105,2019-08-24,"Tesla, Inc.",TSLA,1318605,LISTED,both,T3-severe,CSET,T3,high,,,Window (2019-08 to 2020-08) includes FY2019 10-K (0001564590-20-004475) Autopilot death/injury risk language. No filing names the California Model 3-into-Ford-Explorer fatality of a 15-year-old.,Fatal Autopilot crash not individually disclosed; generic Autopilot risk-factor language only = T3.,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California"
113,2020-06-27,"Meta Platforms, Inc.",META,1326801,LISTED,both,T2-moderate,CSET,T3,high,,,FY2020 10-K (fb-20201231.htm) carries reliance-on-AI and objectionable/offensive-content risk language. No filing references the AI 'Primates' mislabel on a video of Black men; no legal proceeding exists.,"AI image-classification error (offensive label, no legal consequence) captured only by family-level AI/objectionable-content risk language; event not named. T3.","Facebook's AI Put ""Primates"" Label on Video Featuring Black Men"
102,2020-03-23,Microsoft Corporation,MSFT,789019,LISTED,both,T2-moderate,CSET,T4,high,,,"Incident window 2020-03-23..2021-03-23. Only in-window annual report is FY2020 10-K (0001564590-20-034944, 2020-07-30), which mentions AI solely as a business/competitive capability and contains NO AI-harm or algorithmic-bias risk-factor language; in-window 10-Qs incorporate 10-K risk factors by ref",Pre-FY2023: no in-window AI risk-factor language of the bias/discrimination family; event not disclosed. T4.,"Personal voice assistants struggle with black voices, new study shows"
