incident_id,incident_date,entity_slug,matched_company,ticker,CIK,listing_status,match_confidence,role,match_method,severity_tier,title
82,2020-10-21,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’
84,2020-10-09,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks"
81,2020-10-21,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,developer,crosswalk,T2-moderate,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers"
83,2020-10-22,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,developer,crosswalk,T2-moderate,AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection
97,2020-10-22,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,T2-moderate,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights
92,2019-11-11,goldman-sachs,The Goldman Sachs Group Inc.,GS,886982,LISTED,HIGH,deployer,crosswalk,T3-severe,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women
89,2019-03-15,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,T3-severe,The Christchurch shooter and YouTube’s radicalization trap
105,2019-08-24,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,T3-severe,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California"
103,2020-09-18,twitter,"Twitter, Inc.",TWTR,1418091,DELISTED,HIGH,both,crosswalk,T2-moderate,Twitter’s Image Cropping Tool Allegedly Showed Gender and Racial Bias
113,2020-06-27,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,"Facebook's AI Put ""Primates"" Label on Video Featuring Black Men"
102,2020-03-23,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,T2-moderate,"Personal voice assistants struggle with black voices, new study shows"
116,2021-09-20,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,deployer,crosswalk,T3-severe,Amazon's AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make
117,2020-02-24,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,"TikTok's ""Suggested Accounts"" Algorithm Allegedly Reinforced Racial Bias through Feedback Loops"
129,2021-03-01,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,"Facebook's Automated Tools Failed to Adequately Remove Hate Speech, Violence, and Incitement"
144,2020-06-28,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,T1-limited,YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation
160,2021-12-26,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,both,crosswalk,T2-moderate,Alexa Recommended Dangerous TikTok Challenge to Ten-Year-Old Girl
161,2019-04-03,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook's Ad Delivery Reportedly Excluded Audience along Racial and Gender Lines
168,2022-03-01,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,"Collaborative Filtering Prone to Popularity Bias, Resulting in Overrepresentation of Popular Items in the Recommendation Outputs"
133,2020-12-15,tiktok,,,,FOREIGN,,both,crosswalk,T1-limited,Online Trolls Allegedly Abused TikTok’s Automated Content Reporting System to Discriminate against Marginalized Creators
153,2019-12-29,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,T3-severe,"Tesla Driver on Autopilot Ran a Red Light, Crashing into a Car and Killing Two People in Los Angeles"
145,2021-07-23,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,T2-moderate,Tesla's Autopilot Misidentified the Moon as Yellow Stop Light
141,2021-02-05,instagram,"Meta Platforms, Inc.",META,1326801,PARENT,MED,both,crosswalk,UNSCORED,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed
125,2020-09-29,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,both,crosswalk,T3-severe,Amazon’s Robotic Fulfillment Centers Have Higher Serious Injury Rates
132,2020-12-27,tiktok,,,,FOREIGN,,both,crosswalk,T2-moderate,TikTok’s Content Moderation Allegedly Failed to Adequately Take down Videos Promoting Eating Disorders
156,2022-02-04,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,both,crosswalk,T3-severe,Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts
