incident_id,incident_date,issuer,aiid_role,attribution_basis,confidence,rationale,n_candidate_issuers,disclosure_code,severity,title
82,2020-10-21,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’
84,2020-10-09,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks"
81,2020-10-21,Alphabet Inc.,developer,developer,medium,AIID arrays: role=developer,1,T3,sev_moderate,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers"
83,2020-10-22,Microsoft Corporation,developer,mentioned-only,low,comparative study or audit naming 2 listed vendors; no single deployment event attributable to this issuer,2,T4,sev_moderate,AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection
97,2020-10-22,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights
92,2019-11-11,The Goldman Sachs Group Inc.,deployer,deployer-operator,medium,AIID arrays: role=deployer,2,T3,sev_severe,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women
89,2019-03-15,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_severe,The Christchurch shooter and YouTube’s radicalization trap
105,2019-08-24,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California"
113,2020-06-27,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,"Facebook's AI Put ""Primates"" Label on Video Featuring Black Men"
102,2020-03-23,Microsoft Corporation,both,mentioned-only,low,comparative study or audit naming 5 listed vendors; no single deployment event attributable to this issuer,5,T4,sev_moderate,"Personal voice assistants struggle with black voices, new study shows"
116,2021-09-20,"Amazon.com, Inc.",deployer,deployer-operator,medium,AIID arrays: role=deployer,1,T3,sev_severe,Amazon's AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make
129,2021-03-01,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,"Facebook's Automated Tools Failed to Adequately Remove Hate Speech, Violence, and Incitement"
144,2020-06-28,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation
160,2021-12-26,"Amazon.com, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Alexa Recommended Dangerous TikTok Challenge to Ten-Year-Old Girl
161,2019-04-03,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Facebook's Ad Delivery Reportedly Excluded Audience along Racial and Gender Lines
168,2022-03-01,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,5,T3,sev_moderate,"Collaborative Filtering Prone to Popularity Bias, Resulting in Overrepresentation of Popular Items in the Recommendation"
153,2019-12-29,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,"Tesla Driver on Autopilot Ran a Red Light, Crashing into a Car and Killing Two People in Los Angeles"
145,2021-07-23,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Tesla's Autopilot Misidentified the Moon as Yellow Stop Light
141,2021-02-05,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed
125,2020-09-29,"Amazon.com, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Amazon’s Robotic Fulfillment Centers Have Higher Serious Injury Rates
156,2022-02-04,"Amazon.com, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts
143,2021-02-16,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,2,T3,sev_moderate,Facebook’s and Twitter's Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules for Small
157,2021-03-15,"Amazon.com, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,"Amazon's Monitoring System Allegedly Pushed Delivery Drivers to Prioritize Speed over Safety, Leading to Crash"
139,2021-01-21,"Amazon.com, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinfor
142,2021-02-11,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Facebook's Advertisement Moderation System Allegedly Routinely Misidentified Adaptive Fashion Products as Medical Equipm
149,2021-11-02,"Zillow Group, Inc.",deployer,deployer-operator,medium,AIID arrays: role=deployer,1,T1,sev_severe,Zillow Shut Down Zillow Offers Division Allegedly Due to Predictive Pricing Tool's Insufficient Accuracy
124,2019-10-24,UnitedHealth Group Inc.,developer,developer,medium,AIID arrays: role=developer,1,T4,sev_severe,Optum Algorithmic Health Risk Scores Reportedly Underestimated Black Patients' Needs
159,2019-03-29,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla Autopilot’s Lane Recognition Allegedly Vulnerable to Adversarial Attacks
127,2020-06-06,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T4,sev_severe,Microsoft’s Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story
163,2021-11-21,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook’s Hate Speech Detection Algorithms Allegedly Disproportionately Failed to Remove Racist Content towards Minorit
203,2022-02-10,"Uber Technologies, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US
213,2020-07-01,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook’s Political Ad Detection Reportedly Showed High and Geographically Uneven Error Rates
175,2022-04-01,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco
178,2022-04-21,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Tesla Owner Activated ""Smart Summon"" Feature, Causing a Collision with an Aircraft in a Washington Airport"
220,2020-11-11,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Facebook Mistakenly Blocked Small Business Ads
221,2022-03-07,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,A Road Engineer Killed Following a Collision Involving a Tesla on Autopilot
181,2022-02-11,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle"
209,2020-10-20,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla Disabled “Rolling Stop” Functionality Associated with the “Aggressive” Driving Mode
215,2020-04-01,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook Content Moderators Demand Better Working Conditions Due to Allegedly Inadequate AI Content Moderation
