incident_id,incident_date,entity_slug,matched_company,ticker,CIK,listing_status,match_confidence,role,match_method,severity_tier,title,FLAG,REVIEW_verdict(OK/FIX),REVIEW_notes,in_analytical_sample,reviewed_at
305,2019-02-01,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,YouTube’s Recommendation Algorithm Allegedly Promoted Climate Misinformation Content,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
281,2019-02-04,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,T2-moderate,YouTube's Algorithms Failed to Remove Violating Content Related to Suicide and Self-Harm,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
89,2019-03-15,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,T3-severe,The Christchurch shooter and YouTube’s radicalization trap,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
159,2019-03-29,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Autopilot’s Lane Recognition Allegedly Vulnerable to Adversarial Attacks,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
501,2019-06-03,navihealth,UnitedHealth Group Inc.,UNH,731766,PARENT,MED,both,crosswalk,T3-severe,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman,parent-map,FIX,as-of-incident-date check: the listed parent did not control the named entity on the incident date (see asofdate.csv); incident leaves the corrected sample,True,revision-1
279,2019-07-01,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,TikTok’s “For You” Algorithm Exposed Young Users to Pro-Eating Disorder Content,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
105,2019-08-24,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,T3-severe,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California",sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
124,2019-10-24,optum,UnitedHealth Group Inc.,UNH,731766,PARENT,MED,developer,crosswalk,T3-severe,Optum Algorithmic Health Risk Scores Reportedly Underestimated Black Patients' Needs,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
371,2019-11-29,huawei,,,,FOREIGN,,developer,crosswalk,UNSCORED,Uganda Deployed Huawei's Facial Recognition to Monitor Political Opposition and Protests,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
322,2019-12-07,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Model 3 Crashed into Police Patrol Car on Connecticut Highway,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
